AutoCtr,Order,OtherOrders,CommonAncestor
1539,Carcharhiniformes,Perciformes/Notothenioidei,457
1540,Carcharhiniformes,Perciformes/Uranoscopoidei,457
1541,Carcharhiniformes,Perciformes/Serranoidei,457
1542,Carcharhiniformes,Perciformes/Scorpaenoidei,457
1543,Carcharhiniformes,Perciformes/Gasterosteoidei,457
1544,Carcharhiniformes,Perciformes/Cottoidei,457
1545,Carcharhiniformes,Acropomatiformes,457
1546,Carcharhiniformes,Centrarchiformes,457
1547,Carcharhiniformes,Eupercaria/misc,457
1548,Carcharhiniformes,Acanthuriformes,457
1549,Carcharhiniformes,Lophiiformes,457
1550,Carcharhiniformes,Tetraodontiformes,457
1551,Carcharhiniformes,Coelacanthiformes,457
1552,Carcharhiniformes,Ceratodontiformes,457
1553,Hexanchiformes,Myxiniformes,500
1554,Hexanchiformes,Petromyzontiformes,500
1555,Hexanchiformes,Heterodontiformes,196
1556,Hexanchiformes,Orectolobiformes,196
1557,Hexanchiformes,Lamniformes,196
1558,Hexanchiformes,Carcharhiniformes,196
1559,Hexanchiformes,Squaliformes,210
1560,Hexanchiformes,Echinorhiniformes,210
1561,Hexanchiformes,Pristiophoriformes,210
1562,Hexanchiformes,Squatiniformes,210
1563,Hexanchiformes,Rajiformes,281
1564,Hexanchiformes,Torpediniformes,281
1565,Hexanchiformes,Rhinopristiformes,281
1566,Hexanchiformes,Myliobatiformes,281
1567,Hexanchiformes,Chimaeriformes,420
1568,Hexanchiformes,Polypteriformes,457
1569,Hexanchiformes,Acipenseriformes,457
1570,Hexanchiformes,Amiiformes,457
1571,Hexanchiformes,Lepisosteiformes,457
1572,Hexanchiformes,Elopiformes,457
1573,Hexanchiformes,Albuliformes,457
1574,Hexanchiformes,Notacanthiformes,457
1575,Hexanchiformes,Anguilliformes,457
1576,Hexanchiformes,Saccopharyngiformes,457
1577,Hexanchiformes,Hiodontiformes,457
1578,Hexanchiformes,Osteoglossiformes,457
1579,Hexanchiformes,Clupeiformes,457
1580,Hexanchiformes,Alepocephaliformes,457
1581,Hexanchiformes,Gonorynchiformes,457
1582,Hexanchiformes,Cypriniformes,457
1583,Hexanchiformes,Characiformes,457
1584,Hexanchiformes,Gymnotiformes,457
1585,Hexanchiformes,Siluriformes,457
1586,Hexanchiformes,Lepidogalaxiiformes,457
1587,Hexanchiformes,Esociformes,457
1588,Hexanchiformes,Salmoniformes,457
1589,Hexanchiformes,Argentiniformes,457
1590,Hexanchiformes,Galaxiiformes,457
1591,Hexanchiformes,Stomiiformes,457
1592,Hexanchiformes,Osmeriformes,457
1593,Hexanchiformes,Ateleopodiformes,457
1594,Hexanchiformes,Aulopiformes,457
1595,Hexanchiformes,Myctophiformes,457
1596,Hexanchiformes,Polymixiiformes,457
1597,Hexanchiformes,Percopsiformes,457
1598,Hexanchiformes,Zeiformes,457
1599,Hexanchiformes,Stylephoriformes,457
